Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,PitStopNextLap,LapsRemaining
2,23.0,1.0,3,26.0,0,0.09922160568537637,-0.10102129236661878,1.3140237277916609,0.16225968488892048,310.0,309.0,307.0,314.0,8.0,1938.586,29.9,41.0,43.7,1.3,178,1,1,28.0
2,24.0,1.0,3,27.0,0,0.07113889024929451,-0.11690667646866047,1.040078175551705,0.23465107616316194,308.0,310.0,307.0,315.0,7.0,2026.709,29.9,41.0,43.6,1.5,210,1,1,27.0
2,25.0,1.0,3,28.0,0,1.403538616681835,-0.1109121919018525,1.375882400878108,4.635285650992021,313.0,311.0,308.0,319.0,9.0,2114.731,29.9,41.0,43.5,1.7,177,1,1,26.0
2,26.0,2.0,2,4.0,0,5.229739083175616,5.812837457017907,-0.769288012226729,-0.15778646600772234,308.0,309.0,306.0,285.0,16.0,2207.545,29.8,40.0,43.6,1.6,156,1,0,25.0
2,27.0,2.0,2,5.0,0,-0.4944080720970694,-0.24129223122992816,-1.1293938591228043,-0.3721030849117265,309.0,311.0,308.0,313.0,16.0,2314.12,29.9,40.0,43.4,1.0,228,1,0,24.0
2,28.0,2.0,2,6.0,0,-0.3559408217290787,-0.1837451793885704,-0.6742907642725515,-0.2768512542877239,313.0,309.0,308.0,319.0,16.0,2400.108,29.9,41.0,43.0,1.2,174,1,0,23.0
2,29.0,2.0,2,7.0,0,-0.43518412766256964,-0.22390822598618473,-1.0410243261421743,-0.2625634796941232,311.0,312.0,307.0,314.0,16.0,2486.594,29.9,41.0,42.9,1.0,163,1,0,22.0
2,30.0,2.0,2,8.0,0,-0.3122874917937899,-0.2125187053092493,-0.3075572024029287,-0.19398216164484305,313.0,312.0,309.0,316.0,16.0,2572.795,29.7,42.0,42.5,0.8,317,1,0,21.0
2,31.0,2.0,2,9.0,0,-0.31089725835636156,-0.23649664357648115,-0.3451142539197039,-0.09682529440836148,312.0,326.0,309.0,318.0,15.0,2659.438,29.8,42.0,42.8,1.3,193,1,0,20.0
2,32.0,2.0,2,10.0,0,-0.3225752192307707,-0.22181015638780147,-0.031402411838454346,-0.31876205976228494,311.0,312.0,312.0,327.0,15.0,2746.086,29.8,41.0,42.6,1.1,136,1,0,19.0
